ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global
16845,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1222,,,,,,,1000000060,,,,,,1,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1995,,1,area,left bank,,1
16846,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,12312,,,,,,,1000000060,,,,,,2,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1996,,1,area,left bank,,1
16847,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,123213,,,,,,,1000000060,,,,,,3,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1997,,1,area,left bank,,1
16848,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,123123,,,,,,,1000000060,,,,,,4,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1998,,1,area,left bank,,1
16849,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1232,,,,,,,1000000060,,,,,,5,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,1999,,1,area,left bank,,1
16850,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,123,,,,,,,1000000060,,,,,,6,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2000,,1,area,left bank,,1
16851,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,12312,,,,,,,1000000060,,,,,,7,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2001,,1,area,left bank,,1
16852,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1232131,,,,,,,1000000060,,,,,,8,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2002,,1,area,left bank,,1
16853,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,897,,,,,,,1000000060,,,,,,9,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2003,,1,area,left bank,,1
16854,variation,,Chateau Haut Bailly,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,123,,,,,,,1000000060,,,,,,10,apellation,Macau (Haut-Médoc),,1,classification,5th Growth,,1,color,Red,,1,drinking_windows,2023-2110,,1,format,12 x 75cl,,1,region,Bordeaux,,1,vintage,2004,,1,area,left bank,,1
